Age,MP,Min,CrdY,CrdR,PKatt,Gls,Ast,PK,Pos_encoded,Comp_encoded
26.0,15,636,0.42,0.0,0.0,0.0,0.0,0.0,9,0
22.0,16,1360,0.33,0.0,0.0,0.0,0.0,0.0,2,4
26.0,18,1165,0.62,0.0,0.0,1.0,1.0,0.0,7,4
26.0,17,1477,0.18,0.0,0.0,0.0,0.0,0.0,0,3
20.0,10,121,0.0,0.0,0.0,0.0,0.0,0.0,5,3
29.0,22,1687,0.05,0.0,0.0,1.0,0.0,0.0,3,4
32.0,20,1756,0.26,0.0,0.0,1.0,1.0,0.0,7,2
27.0,23,1250,0.22,0.0,0.14,1.0,0.0,0.0,3,2
28.0,18,1416,0.32,0.0,0.0,1.0,1.0,0.0,7,0
26.0,19,1597,0.11,0.0,0.0,0.0,0.0,0.0,0,0
28.0,8,510,0.35,0.18,0.0,0.0,0.0,0.0,0,1
23.0,17,783,0.11,0.0,0.0,0.0,0.0,0.0,9,3
20.0,2,52,0.0,0.0,0.0,1.0,0.0,0.0,3,4
26.0,20,1794,0.15,0.0,0.0,0.0,0.0,0.0,0,0
22.0,11,311,0.29,0.0,0.0,1.0,1.0,0.0,7,4
32.0,21,1051,0.09,0.0,0.0,1.0,0.0,0.0,3,3
22.0,12,908,0.3,0.0,0.0,1.0,0.0,0.0,3,3
22.0,4,172,0.0,0.0,0.0,0.0,0.0,0.0,0,4
29.0,15,788,0.0,0.0,0.0,0.0,0.0,0.0,5,0
28.0,3,210,0.43,0.0,0.0,0.0,0.0,0.0,9,1
24.0,9,402,0.44,0.0,0.0,1.0,1.0,0.0,7,2
20.0,6,85,0.0,0.0,0.0,0.0,0.0,0.0,9,2
30.0,15,795,0.11,0.0,0.0,0.0,0.0,0.0,2,2
27.0,7,587,0.31,0.15,0.0,1.0,1.0,0.0,7,1
33.0,10,493,0.18,0.0,0.0,1.0,1.0,0.0,7,0
23.0,10,859,0.32,0.0,0.0,0.0,0.0,0.0,0,1
21.0,6,49,0.0,0.0,0.0,0.0,0.0,0.0,5,3
19.0,2,32,0.0,0.0,0.0,0.0,0.0,0.0,5,2
26.0,19,1094,0.16,0.0,0.0,0.0,0.0,0.0,9,3
26.0,20,1027,0.0,0.0,0.0,1.0,0.0,0.0,3,3
30.0,18,767,0.35,0.0,0.0,0.0,0.0,0.0,9,3
33.0,14,1189,0.3,0.0,0.23,1.0,0.0,0.0,3,4
28.0,20,1728,0.21,0.0,0.16,1.0,1.0,0.0,7,0
19.0,1,15,0.0,0.0,0.0,1.0,1.0,0.0,7,1
32.0,20,815,0.11,0.0,0.0,1.0,1.0,0.0,7,4
24.0,16,663,0.14,0.0,0.14,1.0,0.0,0.0,3,4
24.0,8,299,0.0,0.0,0.0,0.0,0.0,0.0,8,1
28.0,11,637,0.0,0.0,0.0,0.0,0.0,0.0,5,0
